"Home","Главная"
"Search entire store here...","Поиск..."
"Your Language:","Язык:"
"Currency:","Валюта:"
"Shopping cart","Корзина"
"BAG","КОРЗИНА"
"item(s)","item(s)"
"Navigation","Меню"
"Special Price","Спец. предложение"
"Special Price:","Спец. цена"
"Regular Price:","Цена"
"Newsletter","Рассылка"
"Your email","Ваш email"
"Subscribe","Подписаться"
"Sign Up","Регистрация"
"My Wishlist","Отобранное"
"My Wishlist (%d item)","Отобранных (%d)"
"My Wishlist (%d items)","Отобранных (%d)"
"My Account","Личный кабинет"
"Cart","Карточка товара"
"View contents of your shopping cart","Просмотреть содержание корзины"
"View shopping cart","Просмотреть содержание корзины"
"Your cart is empty","Ваша корзина пуста"
"Continue to Checkout","Продолжить оформление заказа"
"Currency","Валюта"
"Language","Язык"
"Sign Up","Регистрация"
"Enter your e-mail","Введите Ваш e-mail"
"Click to see more products from %s","Нажмите чтобы увидеть еще модели из %s"
"Sign Up","Регистрация"
"From Twitter","Twitter"
"Facebook","Facebook"
"Categories","Категории"
"Related Products","Связанные модели"
"Popular Products","Популярные модели"
"Availability:","Доступно:"
"Sign In","Вход"
"Create an Account","Регистрация"
"No tags connected to product","No tags connected to product"
"View as","Смотреть"
"Price","Цена"
"Price Slider","Диопозон цен"
"prev","Предыдущий"
"next","Следующий"
"Qty","Количество"
"You may also be interested in the following product(s)","Рекомендованные"
"Unable to find Product ID","Невозможно найти ID модели"
"%s was added to your shopping cart.","%s добавлено в корзину."
"Cannot add the item to shopping cart.","Невозможно добавить в корзину."
"Quote item is not found.","Запрошенная модель не найдена."
"%s was updated in your shopping cart.","%s был изменнен в корзине."
"Cannot update the item.","Невозможно изменить."
"The product %s has been added to comparison list.","Модель добавленна %s в список сравнения."
"Wishlist Has Been Disabled By Admin","Отобранное было заблокированно администратором"
"Please Login First","Для продолжения авторизуйтесь в системе"
"Unable to Create Wishlist","Невозможно создать Отобранные"
"Product Not Found","Модель не найдена"
"Cannot specify product.","Невозможно определить модель."
"%1$s has been added to your wishlist.","%1$s была добавленна в ваши отобранные."
"An error occurred while adding item to wishlist: %s","Произошла ошибка при добавлении в отобранные: %s"
"An error occurred while adding item to wishlist.","Aроизошла ошибка при добавлении в отобранные."
"View Cart","В Корзину"
"Continue to Checkout","Оформить заказ"
"Edit item","Редактировать элемент"
"Remove This Item","Удалить элемент"
"Are you sure you would like to remove this item from the shopping cart?","Вы уверены, что хотите удалить элемент из корзины?"
"Description","Описание"
"Short Description","Короткое описание"
"No tags connected to product","No tags connected to product"
"You need to specify a username","Вы должны ввести имя пользователя"
"There was an error connecting to your Twitter account","Ошибка при подключении к Twitter"
"Follow us","Оставаться с нами"
"on Twitter","Twitter"
"On Sale","Распродажа"
"New Products","Новинки"
"quick view","быстрый просмотр"
"WRITE YOUR REVIEW", "НАПИСАТЬ ОТЗЫВ"
"%d Review(s)", "%d Отзыв(-ов)"
"Reviews","Отзывы покупателей"
"Review by %s","Автор: %s"
"(Posted on %s)","(Дата: %s)"
"Only registered users can write reviews. Please, <a href='%s'>log in</a> or <a href='%s'>register</a>","Только зарегестрированные пользовы могут оставить отзыв. Пожалуйста, <a href='%s'>авторизуйтесь</a> или <a href='%s'>зарегистрируйтесь</a>"
"Submit Review","Оставить отзыв"
"Nickname","Имя"
"Write Your Own Review","Оставте Ваш отзыв"
"You're reviewing:","Вы оцениваете:"
"How do you rate this product?","Как Вы оцениваете эту вещь?"
"1 star","1 звезда"
"2 stars","2 звезды"
"3 stars","3 звезды"
"4 stars","4 звезды"
"5 stars","5 звезды"
"Summary of Your Review","Заголовок"
"Review","Отзыв"
"more...","еще..."
"less...","меньше..."
"Popular Brands","Популярные Бренды"
"Log In","Вход"
"Log Out","Выход"
"Sort By","Сортировать"
"Set Ascending Direction","По возрастанию"
"Set Descending Direction","По убыванию"
"Show","Отображать"
"per page","на странице"
"Items %s to %s of %s total","Элементы с %s по %s из %s"
"%s Item(s)","%s Элемент(ов)"
"Position","Порядок"
"Add to Cart","В корзину"
"Add to Wishlist","В Отобранное"
"Manufacturer","Бренд"
"Color","Цвет"
"Size","Размер"
"Shop By","Фильтр"
"Staff pick","Популярное"
"Category","Раздел"
"Relevance","Совпадению"
"In stock","В наличии"
"Out of stock","Нет в наличии"
"Your review has been accepted for moderation.","Спасибо за Ваш отзыв. Он будет активирован модератором."
"Be the first to review this product","Будте первым, кто оставил отзыв."
"Add Your Review","Добавить отзыв"
"Size Guide","Таблица размеров"
"Choose an Option...","Выберите размер"
"This is a required field.","Обязательное поле."
"All","Все"
"Cart Subtotal:","Итого:"
"Recently added item(s)","Недавно добавленные"
"Share","Поделиться"
"Email Address","Email"
"Password","Пароль"
"Remember Me","Запомнить на сайте"
"Login","Вход"
"Forgot Your Password?","Забыли пароль?"
"What's this?","Что это?"
"Close","Закрыть"
"Email to a Friend","Отправить ссылку другу"
"Sender:","Отправитель:"
"Name:","Имя:"
"Message:","Сообщение:"
"Recipient:","Ролучатель:"
"Email Address:","Email:"
"Send Email","Отправить"
"Add Recipient","Добавить адрес"
"The link to a friend was sent.","Ссылка была отправлена."
"Back","Назад"
"Recently Viewed Products","Последние просмотры"
"My Dashboard","Королевский Клуб"
"Personal Information","Личные данные"
"First Name","Имя"
"Last Name","Фамилия"
"Confirm Password","Подтверждение пароля"
"* Required Fields","* Обязательные поля"
"Login Information","Информация для входа"
"Sign Up for Newsletter","Подписаться на рассылку"
"Submit","Подтвердить"
"Save","Сохранить"
"Checkout","Оформить заказ"
"Checkout as a Guest or Register","Оформить как гость"
"Register to Create an Account","Зарегистрироваться"
"Register with us for future convenience:","Зарегистрируйтесь чтобы оформлять заказы быстрее:"
"Register and save time!","Зарегистритуйтесь и сохраните свое время!"
"Fast and easy check out","Быстрое оформление заказа"
"Easy access to your order history and status","Доступ к статусам и истории заказов"
"Checkout as Guest","Продолжить как гость"
"Register","Пользователь"
"Continue","Продолжить"
"Checkout Method","Способ оформления"
"Already registered?","Уже зарегистрированны?"
"Please log in below:","Пожалуйста авторизуйтесь ниже:"
"Forgot your password?","Забыли пароль?"
"Billing Information","Информация о плательшике"
"Company","Компания"
"Address","Адрес"
"City","Город"
"Zip/Postal Code","Индекс"
"Country","Страна"
"Telephone","Телефон"
"Ship to this address","Доставка на этот адрес"
"Ship to different address","Доставка на другой адрес"
"Please enter a valid email address. For example johndoe@domain.com.","Пожалуйста введите правильный email адрес. Например ivanov@mail.ru"
"Use Billing Address","Использовать адрес плательшика"
